iter	Passed	Remaining
0	3	330
1	6	341
2	9	319
3	17	422
4	27	517
5	32	501
6	38	514
7	48	553
8	53	538
9	57	519
10	61	498
11	66	490
12	72	485
13	76	470
14	82	469
15	85	451
16	91	445
17	99	455
18	105	449
19	114	458
20	120	452
21	127	451
22	135	452
23	141	449
24	145	437
25	149	426
26	153	416
27	161	415
28	165	404
29	172	403
30	186	415
31	193	410
32	201	409
33	207	402
34	212	394
35	226	402
36	233	397
37	238	388
38	243	380
39	253	379
40	260	375
41	263	363
42	271	360
43	281	357
44	287	351
45	302	355
46	306	345
47	309	335
48	313	326
49	317	317
50	338	325
51	342	316
52	352	312
53	356	303
54	361	295
55	368	289
56	376	284
57	382	277
58	404	281
59	409	272
60	412	263
61	415	254
62	422	248
63	437	246
64	441	237
65	458	236
66	464	228
67	469	221
68	473	212
69	512	219
70	518	211
71	525	204
72	531	196
73	534	187
74	546	182
75	550	173
76	556	166
77	565	159
78	576	153
79	585	146
80	606	142
81	634	139
82	653	133
83	663	126
84	669	118
85	678	110
86	689	102
87	698	95
88	706	87
89	710	78
90	715	70
91	721	62
92	725	54
93	730	46
94	733	38
95	736	30
96	739	22
97	744	15
98	748	7
99	753	0
