iter	Passed	Remaining
0	214	214662
1	218	109217
2	221	73563
3	229	57050
4	236	47121
5	240	39776
6	243	34525
7	245	30468
8	248	27361
9	252	24952
10	255	22963
11	257	21211
12	260	19752
13	262	18505
14	265	17403
15	271	16692
16	273	15814
17	275	15033
18	277	14333
19	279	13704
20	281	13130
21	286	12737
22	289	12284
23	291	11841
24	293	11436
25	295	11062
26	298	10752
27	300	10436
28	302	10142
29	304	9857
30	307	9600
31	309	9356
32	313	9192
33	315	8976
34	318	8767
35	320	8582
36	322	8397
37	324	8226
38	327	8066
39	329	7908
40	331	7758
41	334	7621
42	336	7482
43	338	7346
44	341	7256
45	344	7135
46	346	7017
47	348	6909
48	350	6799
49	353	6722
50	356	6627
51	358	6529
52	360	6438
53	362	6351
54	364	6268
55	370	6237
56	372	6155
57	374	6079
58	376	6004
59	378	5930
60	381	5873
61	383	5809
62	385	5740
63	388	5680
64	390	5616
65	392	5560
66	395	5501
67	397	5444
68	399	5387
69	401	5334
70	403	5279
71	405	5230
72	407	5179
73	411	5147
74	413	5097
75	415	5055
76	418	5010
77	420	4966
78	422	4924
79	426	4902
80	428	4863
81	430	4821
82	431	4770
83	433	4727
84	435	4687
85	437	4649
86	441	4628
87	443	4592
88	445	4559
89	447	4527
90	450	4496
91	452	4465
92	457	4462
93	459	4432
94	461	4400
95	464	4370
96	466	4340
97	470	4331
98	472	4301
99	474	4273
100	476	4245
101	479	4219
102	481	4192
103	486	4189
104	488	4162
105	490	4137
106	492	4113
107	495	4088
108	497	4066
109	500	4052
110	503	4029
111	506	4012
112	509	3997
113	516	4017
114	519	3997
115	523	3991
116	526	3972
117	547	4092
118	559	4143
119	565	4147
120	572	4159
121	577	4155
122	583	4157
123	589	4165
124	597	4182
125	602	4176
126	604	4155
127	607	4138
128	611	4131
129	620	4152
130	623	4134
131	625	4115
132	628	4097
133	636	4112
134	638	4093
135	641	4073
136	643	4054
137	651	4067
138	655	4060
139	667	4098
140	672	4096
141	674	4077
142	684	4099
143	688	4093
144	694	4097
145	697	4081
146	701	4071
147	704	4053
148	710	4058
149	714	4049
150	717	4034
151	720	4018
152	723	4007
153	727	3998
154	731	3986
155	733	3969
156	741	3980
157	743	3962
158	747	3953
159	751	3943
160	754	3933
161	758	3921
162	760	3905
163	763	3889
164	765	3873
165	770	3869
166	778	3880
167	784	3884
168	787	3872
169	789	3855
170	792	3840
171	796	3835
172	800	3825
173	802	3810
174	805	3797
175	808	3783
176	810	3767
177	813	3756
178	815	3740
179	819	3734
180	821	3719
181	824	3704
182	826	3692
183	830	3685
184	833	3670
185	837	3663
186	839	3648
187	842	3638
188	844	3624
189	847	3613
190	849	3599
191	852	3589
192	856	3583
193	860	3573
194	863	3565
195	865	3552
196	868	3538
197	871	3530
198	873	3517
199	875	3503
200	878	3490
201	880	3479
202	883	3466
203	887	3463
204	889	3451
205	892	3438
206	894	3425
207	896	3413
208	898	3401
209	906	3409
210	910	3404
211	912	3392
212	917	3389
213	922	3389
214	926	3382
215	929	3372
216	936	3380
217	939	3369
218	942	3359
219	949	3365
220	951	3353
221	954	3345
222	956	3333
223	959	3324
224	964	3323
225	968	3316
226	970	3306
227	973	3295
228	975	3283
229	979	3278
230	984	3276
231	988	3272
232	994	3273
233	998	3270
234	1005	3274
235	1011	3273
236	1018	3279
237	1022	3274
238	1028	3275
239	1035	3278
240	1038	3269
241	1042	3266
242	1045	3257
243	1051	3258
244	1054	3249
245	1056	3238
246	1066	3251
247	1068	3241
248	1071	3231
249	1074	3222
250	1079	3222
251	1082	3213
252	1085	3205
253	1088	3195
254	1093	3196
255	1096	3188
256	1100	3180
257	1103	3173
258	1110	3176
259	1112	3166
260	1114	3155
261	1116	3145
262	1119	3137
263	1124	3135
264	1128	3129
265	1130	3120
266	1134	3114
267	1140	3113
268	1142	3104
269	1145	3096
270	1147	3086
271	1149	3077
272	1154	3074
273	1156	3065
274	1159	3055
275	1161	3045
276	1163	3035
277	1165	3025
278	1167	3018
279	1170	3010
280	1172	3000
281	1174	2991
282	1176	2981
283	1178	2972
284	1182	2966
285	1184	2957
286	1186	2948
287	1188	2939
288	1191	2932
289	1194	2925
290	1201	2927
291	1221	2960
292	1223	2952
293	1227	2946
294	1229	2938
295	1231	2929
296	1233	2920
297	1236	2912
298	1238	2904
299	1242	2899
300	1245	2891
301	1247	2882
302	1249	2874
303	1251	2866
304	1253	2857
305	1258	2854
306	1260	2845
307	1262	2837
308	1265	2829
309	1267	2820
310	1269	2811
311	1276	2813
312	1280	2809
313	1282	2802
314	1285	2794
315	1288	2788
316	1290	2780
317	1293	2773
318	1295	2765
319	1298	2759
320	1303	2756
321	1305	2749
322	1307	2741
323	1309	2733
324	1313	2728
325	1318	2726
326	1320	2718
327	1323	2712
328	1326	2705
329	1328	2697
330	1332	2692
331	1334	2684
332	1337	2678
333	1339	2670
334	1342	2664
335	1345	2658
336	1347	2650
337	1349	2643
338	1352	2636
339	1354	2629
340	1357	2622
341	1362	2621
342	1364	2614
343	1367	2608
344	1370	2602
345	1375	2599
346	1377	2592
347	1379	2585
348	1382	2579
349	1386	2574
350	1390	2571
351	1393	2565
352	1396	2560
353	1400	2556
354	1405	2553
355	1407	2546
356	1410	2540
357	1413	2534
358	1417	2530
359	1422	2529
360	1425	2522
361	1427	2516
362	1430	2510
363	1434	2506
364	1437	2501
365	1440	2495
366	1442	2488
367	1445	2481
368	1447	2475
369	1451	2471
370	1454	2465
371	1456	2459
372	1459	2454
373	1464	2451
374	1467	2445
375	1469	2439
376	1472	2432
377	1475	2427
378	1480	2426
379	1484	2421
380	1486	2415
381	1490	2410
382	1495	2409
383	1498	2403
384	1501	2397
385	1504	2392
386	1509	2390
387	1512	2385
388	1515	2380
389	1518	2374
390	1522	2371
391	1526	2367
392	1529	2362
393	1532	2357
394	1535	2351
395	1540	2349
396	1542	2343
397	1544	2336
398	1547	2330
399	1550	2325
400	1554	2321
401	1556	2315
402	1558	2309
403	1560	2302
404	1563	2296
405	1565	2289
406	1569	2287
407	1571	2280
408	1573	2274
409	1575	2267
410	1578	2262
411	1580	2256
412	1583	2251
413	1586	2244
414	1588	2238
415	1590	2232
416	1592	2226
417	1594	2220
418	1598	2216
419	1600	2210
420	1603	2204
421	1605	2198
422	1607	2192
423	1609	2186
424	1612	2181
425	1614	2175
426	1616	2169
427	1618	2163
428	1620	2157
429	1622	2151
430	1627	2148
431	1629	2142
432	1631	2136
433	1633	2130
434	1635	2124
435	1637	2118
436	1640	2113
437	1642	2107
438	1644	2101
439	1647	2097
440	1650	2092
441	1655	2089
442	1657	2084
443	1659	2078
444	1663	2074
445	1666	2069
446	1669	2065
447	1673	2062
448	1675	2056
449	1678	2051
450	1684	2050
451	1687	2046
452	1690	2041
453	1700	2045
454	1706	2043
455	1709	2039
456	1714	2036
457	1716	2031
458	1719	2026
459	1721	2021
460	1725	2017
461	1737	2023
462	1741	2019
463	1746	2017
464	1749	2012
465	1752	2007
466	1754	2002
467	1761	2002
468	1763	1996
469	1766	1991
470	1768	1986
471	1771	1981
472	1776	1979
473	1780	1975
474	1782	1970
475	1785	1965
476	1787	1959
477	1790	1955
478	1793	1950
479	1796	1946
480	1799	1941
481	1802	1937
482	1805	1932
483	1809	1928
484	1812	1924
485	1821	1925
486	1823	1920
487	1825	1915
488	1828	1910
489	1830	1904
490	1834	1902
491	1837	1897
492	1839	1892
493	1843	1888
494	1846	1883
495	1851	1881
496	1854	1877
497	1857	1872
498	1859	1866
499	1862	1862
500	1865	1858
501	1868	1853
502	1871	1848
503	1874	1844
504	1879	1842
505	1882	1837
506	1886	1834
507	1889	1829
508	1891	1824
509	1894	1819
510	1897	1815
511	1899	1810
512	1902	1805
513	1910	1806
514	1912	1801
